snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation,coverage
Atrial septal defect (disorder),70142008,70142008,Atrial septal defect (disorder),(<!253363004|Abnormality of atrial septum (disorder)| AND <!253273004|Cardiac septal defects (disorder)|)&limit=7000,1,1
Hemorrhoids (disorder),70153002,70153002,Hemorrhoids (disorder),(<!448157006|Abnormality of systemic vein (disorder)| AND <!385442006|Vascular disorder of pelvis (disorder)| AND <!737201004|Disorder of anal canal (disorder)| AND <!248742008|Trunk varices (disorder)| AND <!111295005|Varices of perineum (disorder)| AND <!735499005|Dilatation of gastrointestinal tract (disorder)|)&limit=7000,1,1
Dural arteriovenous fistula (disorder),703166003,703166003,Dural arteriovenous fistula (disorder),(<!299735001|Neurological lesion (finding)| AND <!428794004|Fistula (disorder)| AND <!15758002|Disorder of meninges (disorder)| AND <!62914000|Cerebrovascular disease (disorder)|)&limit=7000,1,1
Myxofibrosarcoma (morphologic abnormality),703609007,703609007,Myxofibrosarcoma (morphologic abnormality),"(<!34360000|Fibrous histiocytoma, malignant (morphologic abnormality)| AND <!372151005|Sarcoma - category (morphologic abnormality)|)&limit=7000",1,1
Mucopolysaccharidosis type II (disorder),70737009,70737009,Mucopolysaccharidosis type II (disorder),(<!128430005|X-linked hereditary disease (disorder)| AND <!11380006|Mucopolysaccharidosis (disorder)| AND <!363080007|Digestive system hereditary disorder (disorder)| AND <!235903001|Metabolic and genetic disorder affecting the liver (disorder)|)&limit=7000,1,1
Acute exacerbation of asthma (disorder),708038006,708038006,Acute exacerbation of asthma (disorder),(<!304527002|Acute asthma (disorder)| AND <!281239006|Exacerbation of asthma (disorder)|)&limit=7000,1,1
Chronic kidney disease (disorder),709044004,709044004,Chronic kidney disease (disorder),(<!128290005|Chronic disease of genitourinary system (disorder)| AND <!236423003|Renal impairment (disorder)|)&limit=7000,1,1
Phantom pain (disorder),710110008,710110008,Phantom pain (disorder),(<!213299007|Postoperative pain (finding)| AND <!312087002|Disorder following clinical procedure (disorder)| AND <!373673007|Disorder characterized by pain (disorder)|)&limit=7000,1,1
Inhaled steroid therapy (procedure),710818004,710818004,Inhaled steroid therapy (procedure),(<!363186003|Introduction of substance by body site (procedure)| AND <!297279009|Steroid therapy (procedure)| AND <!433590000|Administration of substance via specific route (procedure)| AND <!118669005|Procedure on respiratory system (procedure)|)&limit=7000,1,1
Croup (disorder),71186008,71186008,Croup (disorder),(<!195742007|Acute lower respiratory tract infection (disorder)| AND <!128482007|Acute inflammatory disease (disorder)| AND <!85915003|Laryngotracheobronchitis (disorder)| AND <!54398005|Acute upper respiratory infection (disorder)| AND <!233795005|Infectious disorder of bronchus (disorder)| AND <!312423006|Infective laryngitis (disorder)| AND <!233785003|Infectious disorder of trachea (disorder)|)&limit=7000,1,1
Dyspareunia (finding),71315007,71315007,Dyspareunia (finding),(<!106143002|Sexuality related problem (finding)| AND <!247420009|Sexual function painful (finding)|)&limit=7000,1,1
Posterior cortical atrophy syndrome (disorder),715574002,715574002,Posterior cortical atrophy syndrome (disorder),(<!418143002|Cerebral degeneration (disorder)| AND <!128128003|Disorder of cerebral cortex (disorder)|)&limit=7000,2,2
Posterior cortical atrophy syndrome (disorder),715574002,18842008,Corticobasal degeneration (disorder),(<!418143002|Cerebral degeneration (disorder)| AND <!128128003|Disorder of cerebral cortex (disorder)|)&limit=7000,2,2
Meningitis (disorder),7180009,7180009,Meningitis (disorder),(<!363169009|Inflammation of specific body organs (disorder)| AND <!39367000|Inflammatory disease of the central nervous system (disorder)| AND <!15758002|Disorder of meninges (disorder)|)&limit=7000,1,1
Injury of rotator cuff (disorder),718539004,718539004,Injury of rotator cuff (disorder),(<!105606008|Injury of musculoskeletal system (disorder)| AND <!125594001|Injury of shoulder region (disorder)| AND <!414033006|Disorder of rotator cuff (disorder)|)&limit=7000,1,1
Ventricular fibrillation (disorder),71908006,71908006,Ventricular fibrillation (disorder),(<!44103008|Ventricular arrhythmia (disorder)| AND <!40593004|Fibrillation (disorder)| AND <!410429000|Cardiac arrest (disorder)|)&limit=7000,1,1
Tuberous sclerosis syndrome (disorder),7199000,7199000,Tuberous sclerosis syndrome (disorder),(<!300848003|Mass of body structure (finding)| AND <!78572006|Neurocutaneous syndrome (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)| AND <!363185004|Hereditary disorder of the integument (disorder)| AND <!363070008|Developmental hereditary disorder (disorder)| AND <!699346009|Hereditary cancer-predisposing syndrome (disorder)| AND <!399960008|Congenital hamartoma (disorder)| AND <!363235000|Hereditary disorder of nervous system (disorder)|)&limit=7000,1,1
Alcoholism (disorder),7200002,231467000,Absinthe addiction (disorder),(<!719848005|Disorder caused by alcohol (disorder)| AND <!2403008|Psychoactive substance dependence (disorder)|)&limit=7000,2,2
Alcoholism (disorder),7200002,7200002,Alcoholism (disorder),(<!719848005|Disorder caused by alcohol (disorder)| AND <!2403008|Psychoactive substance dependence (disorder)|)&limit=7000,2,2
Incontinence of feces (finding),72042002,72042002,Incontinence of feces (finding),(<!300387008|Finding of bowel continence (finding)| AND <!48340000|Incontinence (finding)| AND <!118228005|Functional finding (finding)|)&limit=7000,1,1
Juvenile osteochondrosis of tibial tubercle (disorder),72047008,84902000,Juvenile osteochondrosis of os tibiale (disorder),(<!355208009|Juvenile osteochondrosis of lower extremity (disorder)| AND <!128137003|Disorder of lower leg (disorder)|)&limit=7000,2,2
Juvenile osteochondrosis of tibial tubercle (disorder),72047008,72047008,Juvenile osteochondrosis of tibial tubercle (disorder),(<!355208009|Juvenile osteochondrosis of lower extremity (disorder)| AND <!128137003|Disorder of lower leg (disorder)|)&limit=7000,2,2
Arteriosclerotic vascular disease (disorder),72092001,724444003,Segmental arterial mediolysis (disorder),(<!280871000|Vascular degeneration (disorder)| AND <!359557001|Disorder of artery (disorder)|)&limit=7000,4,4
Arteriosclerotic vascular disease (disorder),72092001,234021009,Cystic adventitial disease (disorder),(<!280871000|Vascular degeneration (disorder)| AND <!359557001|Disorder of artery (disorder)|)&limit=7000,4,4
Arteriosclerotic vascular disease (disorder),72092001,72092001,Arteriosclerotic vascular disease (disorder),(<!280871000|Vascular degeneration (disorder)| AND <!359557001|Disorder of artery (disorder)|)&limit=7000,4,4
Arteriosclerotic vascular disease (disorder),72092001,50808002,Atheroma of artery (disorder),(<!280871000|Vascular degeneration (disorder)| AND <!359557001|Disorder of artery (disorder)|)&limit=7000,4,4
Solar lentigo (disorder),72100002,238712007,Solar lentiginosis (disorder),(<!402624000|Lentiginosis (disorder)| AND <!399921006|Hamartoma of skin (disorder)| AND <!238513004|Ultraviolet-induced change in normal skin (disorder)| AND <!49765009|Hyperpigmentation of skin (disorder)|)&limit=7000,2,2
Solar lentigo (disorder),72100002,72100002,Solar lentigo (disorder),(<!402624000|Lentiginosis (disorder)| AND <!399921006|Hamartoma of skin (disorder)| AND <!238513004|Ultraviolet-induced change in normal skin (disorder)| AND <!49765009|Hyperpigmentation of skin (disorder)|)&limit=7000,2,2
Klippel Trenaunay syndrome (disorder),721105004,721105004,Klippel Trenaunay syndrome (disorder),(<!416377005|Port-wine stain of skin (disorder)| AND <!723991007|Angio-osteohypertrophic syndrome (disorder)|)&limit=7000,1,1
Primary myxofibrosarcoma (disorder),723076008,723076008,Primary myxofibrosarcoma (disorder),(<!443439001|Malignant fibrous histiocytoma (disorder)| AND <!424413001|Sarcoma (disorder)|)&limit=7000,1,1
Circumcision (procedure),72310004,72310004,Circumcision (procedure),(<!176546008|Operation on prepuce (procedure)| AND <!128303001|Surgical removal (procedure)|)&limit=7000,1,1
Primary progressive apraxia of speech (disorder),723124007,723124007,Primary progressive apraxia of speech (disorder),(<!81308009|Disorder of brain (disorder)| AND <!80690008|Degenerative disease of the central nervous system (disorder)| AND <!74227009|Apraxic aphonia (disorder)|)&limit=7000,1,1
Bicuspid aortic valve (disorder),72352009,72352009,Bicuspid aortic valve (disorder),(<!76257003|Bicuspid cardiac valve (disorder)| AND <!253609009|Abnormal number of aortic valve cusps (disorder)|)&limit=7000,1,1
Injury caused by low temperature (disorder),726523002,726523002,Injury caused by low temperature (disorder),(<!400209005|Injury caused by causative force (disorder)| AND <!241967006|General effects of low temperature (disorder)|)&limit=7000,2,2
Injury caused by low temperature (disorder),726523002,241966002,Frost nip (disorder),(<!400209005|Injury caused by causative force (disorder)| AND <!241967006|General effects of low temperature (disorder)|)&limit=7000,2,2
Prickly heat (disorder),72658003,72658003,Prickly heat (disorder),(<!63951004|Miliaria (disorder)| AND <!279334008|Heat-induced dermatosis (disorder)|)&limit=7000,1,1
Snoring (finding),72863001,72863001,Snoring (finding),(<!106051002|Finding related to respiratory sounds (finding)| AND <!365852007|Respiratory function finding (finding)|)&limit=7000,1,1
Familial multiple polyposis syndrome (disorder),72900001,72900001,Familial multiple polyposis syndrome (disorder),(<!699346009|Hereditary cancer-predisposing syndrome (disorder)| AND <!363080007|Digestive system hereditary disorder (disorder)| AND <!254589009|Intestinal polyposis syndrome (disorder)| AND <!399505005|Polyp of large intestine (disorder)|)&limit=7000,1,1
Coarctation of aorta (disorder),7305005,7305005,Coarctation of aorta (disorder),(<!59877000|Congenital anomaly of aorta (disorder)| AND <!239953001|Soft tissue lesion (disorder)|)&limit=7000,1,1
Diabetes mellitus (disorder),73211009,73211009,Diabetes mellitus (disorder),(<!126877002|Disorder of glucose metabolism (disorder)| AND <!362969004|Disorder of endocrine system (disorder)|)&limit=7000,1,1
Dissection of coronary artery (disorder),732230001,732230001,Dissection of coronary artery (disorder),(<!128599005|Structural disorder of heart (disorder)| AND <!414024009|Disorder of coronary artery (disorder)| AND <!710864009|Dissection of artery (disorder)|)&limit=7000,1,1
Muscular dystrophy (disorder),73297009,73297009,Muscular dystrophy (disorder),(<!5294002|Developmental disorder (disorder)| AND <!75047002|Disorder of skeletal muscle (disorder)| AND <!363059001|Degenerative disorder of musculoskeletal system (disorder)| AND <!363058009|Degenerative disorder of muscle (disorder)| AND <!128237006|Chronic disease of musculoskeletal system (disorder)|)&limit=7000,1,1
Sleep apnea (disorder),73430006,73430006,Sleep apnea (disorder),(<!39898005|Sleep disorder (disorder)| AND <!50043002|Disorder of respiratory system (disorder)| AND <!1023001|Apnea (finding)|)&limit=7000,1,1
Stevens-Johnson syndrome (disorder),73442001,124911000119100,Stevens Johnson syndrome AND toxic epidermal necrolysis overlap (disorder),"(<!473010000|Hypersensitivity condition (finding)| AND <!768946000|Stevens-Johnson syndrome, toxic epidermal necrolysis spectrum (disorder)|)&limit=7000",2,2
Stevens-Johnson syndrome (disorder),73442001,73442001,Stevens-Johnson syndrome (disorder),"(<!473010000|Hypersensitivity condition (finding)| AND <!768946000|Stevens-Johnson syndrome, toxic epidermal necrolysis spectrum (disorder)|)&limit=7000",2,2
Epicondylitis (disorder),73583000,73583000,Epicondylitis (disorder),(<!359643005|Enthesitis (disorder)| AND <!363175000|Inflammatory disorder of extremity (disorder)| AND <!35185008|Enthesopathy of elbow region (disorder)|)&limit=7000,1,1
Injury of peripheral nerve (disorder),73590005,73590005,Injury of peripheral nerve (disorder),(<!57182000|Nerve injury (disorder)| AND <!282026002|Soft tissue injury (disorder)| AND <!302226006|Peripheral nerve disease (disorder)|)&limit=7000,1,1
Polyp of nasal cavity and/or nasal sinus (disorder),736499003,736499003,Polyp of nasal cavity and/or nasal sinus (disorder),(<!276320009|Lesion of mucosa (finding)| AND <!298364001|Finding of head region (finding)| AND <!432525007|Mass of head (finding)| AND <!441456002|Polyp (disorder)| AND <!444905003|Mass of soft tissue (finding)| AND <!280131007|Disorder of soft tissue of head (disorder)| AND <!300851005|Mass of respiratory structure (finding)| AND <!239953001|Soft tissue lesion (disorder)| AND <!201060008|Disorder of upper respiratory system (disorder)| AND <!95351003|Disorder of mucous membrane (disorder)|)&limit=7000,1,1
Colonoscopy (procedure),73761001,73761001,Colonoscopy (procedure),(<!6019008|Endoscopy of large intestine (procedure)| AND <!118839001|Procedure on colon (procedure)|)&limit=7000,1,1
Enteritis caused by radiation (disorder),73817000,73817000,Enteritis caused by radiation (disorder),(<!85919009|Disorder of intestine (disorder)| AND <!85983004|Disorder caused by exposure to ionizing radiation (disorder)| AND <!128999004|Inflammatory disorder of digestive tract (disorder)| AND <!363169009|Inflammation of specific body organs (disorder)|)&limit=7000,1,1
Appendicitis (disorder),74400008,74400008,Appendicitis (disorder),(<!302168000|Inflammation of large intestine (disorder)| AND <!18526009|Disorder of appendix (disorder)|)&limit=7000,1,1
Urticaria caused by cold (disorder),74774004,74774004,Urticaria caused by cold (disorder),(<!126485001|Urticaria (disorder)| AND <!238506004|Cold-induced dermatosis (disorder)|)&limit=7000,1,1
Acute febrile mucocutaneous lymph node syndrome (disorder),75053002,75053002,Acute febrile mucocutaneous lymph node syndrome (disorder),(<!128482007|Acute inflammatory disease (disorder)| AND <!128487001|Acute disease of cardiovascular system (disorder)| AND <!416113008|Febrile disorder (disorder)| AND <!724598001|Vasculitis of medium sized vessel (disorder)| AND <!407529009|Primary systemic arteritis (disorder)| AND <!127086001|Cervical lymphadenopathy (disorder)|)&limit=7000,1,1
Congenital anomaly of mitral valve (disorder),75372006,75372006,Congenital anomaly of mitral valve (disorder),(<!11851006|Mitral valve disorder (disorder)| AND <!70320004|Congenital anomaly of heart valve (disorder)| AND <!737155005|Congenital anomaly of atrioventricular valve (disorder)|)&limit=7000,1,1
Pancreatitis (disorder),75694006,75694006,Pancreatitis (disorder),(<!3855007|Disorder of pancreas (disorder)| AND <!363169009|Inflammation of specific body organs (disorder)| AND <!373407002|Inflammatory disorder of digestive system (disorder)|)&limit=7000,1,1
Red eye (disorder),75705005,75705005,Red eye (disorder),(<!703630003|Red eye (finding)| AND <!62619007|Ill-defined disorder of eye (disorder)|)&limit=7000,1,1
Classical phenylketonuria (disorder),7573000,58256000,Dihydropteridine reductase deficiency (disorder),(<!68528007|Hyperphenylalaninemia (disorder)| AND <!78548001|Enzymopathy (disorder)| AND <!85995004|Autosomal recessive hereditary disorder (disorder)| AND <!86095007|Inborn error of metabolism (disorder)|)&limit=7000,2,2
Classical phenylketonuria (disorder),7573000,7573000,Classical phenylketonuria (disorder),(<!68528007|Hyperphenylalaninemia (disorder)| AND <!78548001|Enzymopathy (disorder)| AND <!85995004|Autosomal recessive hereditary disorder (disorder)| AND <!86095007|Inborn error of metabolism (disorder)|)&limit=7000,2,2
Ascorbic acid deficiency (disorder),76169001,76169001,Ascorbic acid deficiency (disorder),(<!386065001|Disorder of vitamin C (disorder)| AND <!85670002|Vitamin deficiency (disorder)|)&limit=7000,1,1
Syphilis (disorder),76272004,76272004,Syphilis (disorder),(<!41116009|Spirochetal infection (disorder)| AND <!8098009|Sexually transmitted infectious disease (disorder)|)&limit=7000,1,1
Dermatographic urticaria (disorder),7632005,7632005,Dermatographic urticaria (disorder),(<!373591006|Disorders of skin caused by physical agents (disorder)| AND <!126485001|Urticaria (disorder)|)&limit=7000,1,1
Total visual and total hearing impairment (disorder),765178008,765178008,Total visual and total hearing impairment (disorder),(<!8531006|Complete deafness (disorder)| AND <!193699007|Blindness - both eyes (disorder)| AND <!433147009|Combined visual and hearing impairment (disorder)|)&limit=7000,1,1
Autosomal dominant polycystic kidney disease (disorder),765330003,765330003,Autosomal dominant polycystic kidney disease (disorder),(<!82525005|Congenital cystic kidney disease (disorder)| AND <!367591000119105|Hereditary nephropathy (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)|)&limit=7000,1,1
22q11.2 deletion syndrome (disorder),767263007,767263007,22q11.2 deletion syndrome (disorder),(<!19550003|22q partial monosomy syndrome (disorder)| AND <!82354003|Multiple system malformation syndrome (disorder)|)&limit=7000,1,1
Pineoblastoma (disorder),767448007,767448007,Pineoblastoma (disorder),(<!93962006|Primary malignant neoplasm of pineal gland (disorder)| AND <!255046005|Neuroendocrine tumor (disorder)|)&limit=7000,1,1
Angelman syndrome (disorder),76880004,76880004,Angelman syndrome (disorder),(<!782964007|Genetic disease (disorder)| AND <!110359009|Intellectual disability (disorder)| AND <!88425004|Congenital anomaly of nervous system (disorder)| AND <!65094009|Multiple malformation syndrome with facial defects as major feature (disorder)|)&limit=7000,1,1
Tetanus (disorder),76902006,76902006,Tetanus (disorder),(<!312116004|Bacterial infection of the nervous system (disorder)| AND <!276202003|Infection caused by Clostridium tetani (disorder)|)&limit=7000,2,2
Tetanus (disorder),76902006,13766008,Puerperal tetanus (disorder),(<!312116004|Bacterial infection of the nervous system (disorder)| AND <!276202003|Infection caused by Clostridium tetani (disorder)|)&limit=7000,2,2
Lobular carcinoma in situ (morphologic abnormality),77284006,703573001,"Cystic hypersecretory carcinoma, intraductal (morphologic abnormality)","(<!115218002|Ductal, lobular AND/OR medullary neoplasm (morphologic abnormality)| AND <!399919001|Carcinoma in situ - category (morphologic abnormality)|)&limit=7000",4,4
Lobular carcinoma in situ (morphologic abnormality),77284006,703545003,Encapsulated papillary carcinoma (morphologic abnormality),"(<!115218002|Ductal, lobular AND/OR medullary neoplasm (morphologic abnormality)| AND <!399919001|Carcinoma in situ - category (morphologic abnormality)|)&limit=7000",4,4
Lobular carcinoma in situ (morphologic abnormality),77284006,128697000,Cystic hypersecretory carcinoma (morphologic abnormality),"(<!115218002|Ductal, lobular AND/OR medullary neoplasm (morphologic abnormality)| AND <!399919001|Carcinoma in situ - category (morphologic abnormality)|)&limit=7000",4,4
Lobular carcinoma in situ (morphologic abnormality),77284006,77284006,Lobular carcinoma in situ (morphologic abnormality),"(<!115218002|Ductal, lobular AND/OR medullary neoplasm (morphologic abnormality)| AND <!399919001|Carcinoma in situ - category (morphologic abnormality)|)&limit=7000",4,4
Angiography (procedure),77343006,77343006,Angiography (procedure),(<!276341003|Cardiovascular investigation (procedure)| AND <!118804001|Procedure on blood vessel (procedure)| AND <!414457001|Imaging of soft tissue (procedure)|)&limit=7000,1,1
Catarrh (morphologic abnormality),782515007,782515007,Catarrh (morphologic abnormality),(<!409774005|Inflammatory morphology (morphologic abnormality)| AND <!63129006|Mucus discharge (morphologic abnormality)|)&limit=7000,1,1
Allergy to cow's milk protein (finding),782555009,782555009,Allergy to cow's milk protein (finding),(<!717234006|Allergy to animal protein (finding)| AND <!414285001|Allergy to food (finding)|)&limit=7000,2,2
Allergy to cow's milk protein (finding),782555009,213020009,Allergy to egg protein (finding),(<!717234006|Allergy to animal protein (finding)| AND <!414285001|Allergy to food (finding)|)&limit=7000,2,2
Fibromuscular dysplasia of wall of artery (disorder),783729004,783729004,Fibromuscular dysplasia of wall of artery (disorder),(<!359557001|Disorder of artery (disorder)| AND <!239953001|Soft tissue lesion (disorder)|)&limit=7000,11,11
Fibromuscular dysplasia of wall of artery (disorder),783729004,726490008,Stenosis of artery (disorder),(<!359557001|Disorder of artery (disorder)| AND <!239953001|Soft tissue lesion (disorder)|)&limit=7000,11,11
Fibromuscular dysplasia of wall of artery (disorder),783729004,460619000,Abscess of wall of truncus arteriosus (disorder),(<!359557001|Disorder of artery (disorder)| AND <!239953001|Soft tissue lesion (disorder)|)&limit=7000,11,11
Fibromuscular dysplasia of wall of artery (disorder),783729004,403966009,Arteriovenous hemangioma (disorder),(<!359557001|Disorder of artery (disorder)| AND <!239953001|Soft tissue lesion (disorder)|)&limit=7000,11,11
Fibromuscular dysplasia of wall of artery (disorder),783729004,233981004,Arterial aneurysm (disorder),(<!359557001|Disorder of artery (disorder)| AND <!239953001|Soft tissue lesion (disorder)|)&limit=7000,11,11
Fibromuscular dysplasia of wall of artery (disorder),783729004,233977004,Extrinsic compression of artery (disorder),(<!359557001|Disorder of artery (disorder)| AND <!239953001|Soft tissue lesion (disorder)|)&limit=7000,11,11
Fibromuscular dysplasia of wall of artery (disorder),783729004,78862003,Ayerza's syndrome (disorder),(<!359557001|Disorder of artery (disorder)| AND <!239953001|Soft tissue lesion (disorder)|)&limit=7000,11,11
Fibromuscular dysplasia of wall of artery (disorder),783729004,62469006,Ulcer of artery (disorder),(<!359557001|Disorder of artery (disorder)| AND <!239953001|Soft tissue lesion (disorder)|)&limit=7000,11,11
Fibromuscular dysplasia of wall of artery (disorder),783729004,58780002,False aneurysm of artery (disorder),(<!359557001|Disorder of artery (disorder)| AND <!239953001|Soft tissue lesion (disorder)|)&limit=7000,11,11
Fibromuscular dysplasia of wall of artery (disorder),783729004,24768002,Fistula of artery (disorder),(<!359557001|Disorder of artery (disorder)| AND <!239953001|Soft tissue lesion (disorder)|)&limit=7000,11,11
Fibromuscular dysplasia of wall of artery (disorder),783729004,2929001,Occlusion of artery (disorder),(<!359557001|Disorder of artery (disorder)| AND <!239953001|Soft tissue lesion (disorder)|)&limit=7000,11,11
Stickler syndrome (disorder),78675000,78675000,Stickler syndrome (disorder),(<!105986008|Congenital skeletal dysplasia (disorder)| AND <!232062002|Hereditary vitreoretinopathy (disorder)| AND <!237513002|Congenital anomaly of bone and joint (disorder)| AND <!253236002|Congenital malformation of vitreous humor (disorder)| AND <!312225001|Musculoskeletal and connective tissue disorder (disorder)| AND <!363070008|Developmental hereditary disorder (disorder)| AND <!363212003|Hereditary disorder of musculoskeletal system (disorder)| AND <!396275006|Osteoarthritis (disorder)| AND <!82354003|Multiple system malformation syndrome (disorder)| AND <!49381001|Congenital anomaly of retina (disorder)|)&limit=7000,1,1
Fistula of anus (disorder),786878009,786878009,Fistula of anus (disorder),(<!32110003|Disorder of anus (disorder)| AND <!37831005|Gastrointestinal fistula (disorder)| AND <!284077005|Perineal fistula (disorder)|)&limit=7000,1,1
Hypermobility of joint (finding),788453008,788453008,Hypermobility of joint (finding),(<!298181000|Range of joint movement increased (finding)| AND <!118952005|Joint finding (finding)|)&limit=7000,1,1
Repetitive motion disorder (disorder),788465007,788465007,Repetitive motion disorder (disorder),(<!123946008|Disorder by body site (disorder)| AND <!279001004|Pain finding at anatomical site (finding)| AND <!301857004|Finding of body region (finding)| AND <!373673007|Disorder characterized by pain (disorder)|)&limit=7000,1,1
Chronic mucoid otitis media (disorder),78868004,81564005,Chronic serous otitis media (disorder),(<!21186006|Chronic otitis media (disorder)| AND <!232254004|Chronic non-suppurative otitis media (disorder)|)&limit=7000,2,2
Chronic mucoid otitis media (disorder),78868004,78868004,Chronic mucoid otitis media (disorder),(<!21186006|Chronic otitis media (disorder)| AND <!232254004|Chronic non-suppurative otitis media (disorder)|)&limit=7000,2,2
Vaginospasm (finding),79012001,248909001,Spasm of pelvic muscles around vagina (finding),(<!45352006|Spasm (finding)| AND <!248870002|Vagina finding (finding)|)&limit=7000,2,2
Vaginospasm (finding),79012001,79012001,Vaginospasm (finding),(<!45352006|Spasm (finding)| AND <!248870002|Vagina finding (finding)|)&limit=7000,2,2
Retinal migraine (disorder),79267007,230468003,Migraine with ischemic complication (disorder),(<!37796009|Migraine (disorder)| AND <!81308009|Disorder of brain (disorder)|)&limit=7000,8,8
Retinal migraine (disorder),79267007,230467008,Status migrainosus (disorder),(<!37796009|Migraine (disorder)| AND <!81308009|Disorder of brain (disorder)|)&limit=7000,8,8
Retinal migraine (disorder),79267007,193039006,Complicated migraine (disorder),(<!37796009|Migraine (disorder)| AND <!81308009|Disorder of brain (disorder)|)&limit=7000,8,8
Retinal migraine (disorder),79267007,193030005,Migraine variants (disorder),(<!37796009|Migraine (disorder)| AND <!81308009|Disorder of brain (disorder)|)&limit=7000,8,8
Retinal migraine (disorder),79267007,79267007,Retinal migraine (disorder),(<!37796009|Migraine (disorder)| AND <!81308009|Disorder of brain (disorder)|)&limit=7000,8,8
Retinal migraine (disorder),79267007,56097005,Migraine without aura (disorder),(<!37796009|Migraine (disorder)| AND <!81308009|Disorder of brain (disorder)|)&limit=7000,8,8
Retinal migraine (disorder),79267007,23186000,Menstrual migraine (disorder),(<!37796009|Migraine (disorder)| AND <!81308009|Disorder of brain (disorder)|)&limit=7000,8,8
Retinal migraine (disorder),79267007,4473006,Migraine with aura (disorder),(<!37796009|Migraine (disorder)| AND <!81308009|Disorder of brain (disorder)|)&limit=7000,8,8
"Polyneuropathy, organomegaly, endocrinopathy, monoclonal gammopathy, and skin changes syndrome (disorder)",79268002,79268002,"Polyneuropathy, organomegaly, endocrinopathy, monoclonal gammopathy, and skin changes syndrome (disorder)",(<!386033004|Neuropathy (disorder)| AND <!362969004|Disorder of endocrine system (disorder)| AND <!109983007|Monoclonal gammopathy (disorder)|)&limit=7000,1,1
Class Cestoda (organism),79501007,243670002,Class Trematoda (organism),(<!106685002|Phylum Platyhelminthes (organism)| AND <!441649000|Class Cestoda and/or Class Trematoda and/or Phylum Nemata (organism)|)&limit=7000,2,2
Class Cestoda (organism),79501007,79501007,Class Cestoda (organism),(<!106685002|Phylum Platyhelminthes (organism)| AND <!441649000|Class Cestoda and/or Class Trematoda and/or Phylum Nemata (organism)|)&limit=7000,2,2
Mitral valve stenosis (disorder),79619009,79619009,Mitral valve stenosis (disorder),(<!44241007|Heart valve stenosis (disorder)| AND <!11851006|Mitral valve disorder (disorder)|)&limit=7000,1,1
Candidiasis of mouth (disorder),79740000,79740000,Candidiasis of mouth (disorder),(<!118938008|Disorder of mouth (disorder)| AND <!312146001|Fungal infection by site (disorder)| AND <!363166002|Infective disorder of head (disorder)| AND <!128398001|Infectious disease of digestive tract (disorder)| AND <!78048006|Candidiasis (disorder)|)&limit=7000,1,1
Cyst of ovary (disorder),79883001,79883001,Cyst of ovary (disorder),(<!289922002|Mass of ovary (finding)| AND <!97171000119100|Cyst of uterine adnexa (disorder)| AND <!5552004|Disorder of ovary (disorder)|)&limit=7000,1,1
Diffuse spasm of esophagus (disorder),79962008,79962008,Diffuse spasm of esophagus (disorder),(<!129565002|Disorder of skeletal AND/OR smooth muscle (disorder)| AND <!51942003|Diffuse spasm (finding)| AND <!266434009|Esophageal dysmotility (disorder)|)&limit=7000,1,1
Nocturnal enuresis (finding),8009008,281862002,Daytime enuresis (finding),(<!450841000|Intermittent urinary incontinence (finding)| AND <!249585009|Bladder finding (finding)|)&limit=7000,6,6
Nocturnal enuresis (finding),8009008,236665004,Postural urinary incontinence (finding),(<!450841000|Intermittent urinary incontinence (finding)| AND <!249585009|Bladder finding (finding)|)&limit=7000,6,6
Nocturnal enuresis (finding),8009008,236664000,Post-micturition incontinence (finding),(<!450841000|Intermittent urinary incontinence (finding)| AND <!249585009|Bladder finding (finding)|)&limit=7000,6,6
Nocturnal enuresis (finding),8009008,87557004,Urge incontinence of urine (finding),(<!450841000|Intermittent urinary incontinence (finding)| AND <!249585009|Bladder finding (finding)|)&limit=7000,6,6
Nocturnal enuresis (finding),8009008,22220005,Genuine stress incontinence (finding),(<!450841000|Intermittent urinary incontinence (finding)| AND <!249585009|Bladder finding (finding)|)&limit=7000,6,6
Nocturnal enuresis (finding),8009008,8009008,Nocturnal enuresis (finding),(<!450841000|Intermittent urinary incontinence (finding)| AND <!249585009|Bladder finding (finding)|)&limit=7000,6,6
Excision of appendix (procedure) ,80146002,80146002,Excision of appendix (procedure),(<!8613002|Operation on appendix (procedure)| AND <!27010001|Partial excision of large intestine (procedure)|)&limit=7000,1,1
Epiglottitis (disorder),80384002,80384002,Epiglottitis (disorder),(<!123863008|Disorder of epiglottis (disorder)| AND <!709663002|Supraglottitis (disorder)|)&limit=7000,1,1
Sleep walking disorder (disorder),80495009,80495009,Sleep walking disorder (disorder),(<!247962006|Sleep automatism (disorder)| AND <!270487001|Non-organic sleep disorder (disorder)|)&limit=7000,1,1
"Denture, device (physical object)",8060009,84610002,"Implantable dental prosthesis, device (physical object)","(<!272251003|Intraoral maxillofacial prosthesis (physical object)| AND <!27606000|Dental prosthesis, device (physical object)|)&limit=7000",2,2
"Denture, device (physical object)",8060009,8060009,"Denture, device (physical object)","(<!272251003|Intraoral maxillofacial prosthesis (physical object)| AND <!27606000|Dental prosthesis, device (physical object)|)&limit=7000",2,2
